product_id,name,description,dimensions,brand,category,material,image_url,seller,seller_address,price,stock_quantity
P1008,SustainAble Chair,Modern chair with sturdy frame and comfortable seating.,16x32x14 cm,SustainAble,Chair,PET,https://tse2.mm.bing.net/th/id/OIP.ofolwA9i3-kWizHoTU9pCwHaJN?cb=thvnext&rs=1&pid=ImgDetMain&o=7&rm=3,EarthOutlet,"Delhi, India",48.39,33
P1012,NatureMark Chair,Modern chair with sturdy frame and comfortable seating.,19x24x6 cm,NatureMark,Chair,Paper (recycled),https://thvnext.bing.com/th?q=Brown+Leather+Desk+Chair&w=120&h=120&c=1&rs=1&qlt=90&cb=1&dpr=1.1&pid=InlineBlock&mkt=en-IN&cc=IN&setlang=en&adlt=strict&t=1&mw=247,EarthOutlet,"Bangalore, India",59.45,26
P1016,EcoLife Chair,Modern chair with sturdy frame and comfortable seating.,19x31x13 cm,EcoLife,Chair,Concrete,https://thvnext.bing.com/th?q=Swivel+Rocker+Recliner+Chair&w=120&h=120&c=1&rs=1&qlt=70&o=7&cb=1&dpr=1.1&pid=InlineBlock&rm=3&mkt=en-IN&cc=IN&setlang=en&adlt=strict&t=1&mw=247,EarthOutlet,"Bangalore, India",35.89,39
P1017,SustainAble Chair,Modern chair with sturdy frame and comfortable seating.,25x39x11 cm,SustainAble,Chair,Stainless Steel,https://thvnext.bing.com/th/id/OIP.z3yfjo2hWKrCkdmtYqfaNgAAAA?w=117&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Bangalore, India",35.95,86
P1065,PlanetWear Chair,Modern chair with sturdy frame and comfortable seating.,20x20x19 cm,PlanetWear,Chair,Aluminum (recycled),https://thvnext.bing.com/th/id/OIP.e8qyNs46uiVRUOMN1fxNhQHaFZ?w=291&h=212&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,Nature's Store,"Chennai, India",97.8,79
P1082,ReThink Chair,Modern chair with sturdy frame and comfortable seating.,35x17x4 cm,ReThink,Chair,HDPE,https://thvnext.bing.com/th/id/OIP.clgcdSVefUwtkRI7xHLQ6gHaEw?w=302&h=194&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Nature's Store,"Mumbai, India",87.16,65
P1103,EcoLife Chair,Modern chair with sturdy frame and comfortable seating.,29x12x6 cm,EcoLife,Chair,Aluminum (recycled),https://thvnext.bing.com/th/id/OIP.jwezfGfESKw6562n0t-nPQAAAA?w=127&h=194&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EarthOutlet,"Delhi, India",93.47,82
P1113,EcoNest Chair,Modern chair with sturdy frame and comfortable seating.,23x41x13 cm,EcoNest,Chair,Wood (softwood),https://thvnext.bing.com/th/id/OIP.3GJ1eaSVVG5khx8OfUpXiAHaHa?w=212&h=212&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,GreenMart,"Hyderabad, India",45.59,97
P1132,SustainAble Chair,Modern chair with sturdy frame and comfortable seating.,10x9x13 cm,SustainAble,Chair,HDPE,https://thvnext.bing.com/th/id/OIP.rsBTy-TQYQK8X4gkuCpGZQAAAA?w=152&h=206&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Bangalore, India",25.03,44
P1134,GreenGear Chair,Modern chair with sturdy frame and comfortable seating.,47x46x14 cm,GreenGear,Chair,HDPE,https://thvnext.bing.com/th/id/OIP.NfcDbj5kjDNqVjGwYfHQxwHaHa?w=157&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EarthOutlet,"Chennai, India",94.09,92
